[09:22:36]===============================================================
[09:22:36]     START MEASURE :: 아이스 아메리카노
[09:26:05]  START OUTLET         : 0.14 sec
[09:26:05]  START OUTLET         : 0.07 sec
[09:26:05]  START OUTLET         : 0.11 sec
[09:26:05]  START OUTLET         : 0.09 sec
[09:26:05]  START OUTLET         : 0.13 sec
[09:26:05]  START OUTLET         : 0.07 sec
[09:26:06]  START OUTLET         : 0.14 sec
[09:26:06]  START OUTLET         : 0.06 sec
[09:26:06]  START OUTLET         : 0.14 sec
[09:26:06]  START OUTLET         : 0.07 sec
[09:26:06]  START OUTLET         : 0.12 sec
[09:26:06]  START OUTLET         : 0.08 sec
[09:26:06]  START OUTLET         : 0.12 sec
[09:26:06]  START OUTLET         : 0.08 sec
[09:26:06]  START OUTLET         : 0.13 sec
[09:26:06]  START OUTLET         : 0.07 sec
[09:26:07]  START OUTLET         : 0.14 sec
[09:26:07]  START OUTLET         : 0.06 sec
[09:26:07]  START OUTLET         : 0.14 sec
[09:26:07]  START OUTLET         : 0.07 sec
[09:26:07]  START OUTLET         : 0.12 sec
[09:26:07]  START OUTLET         : 0.08 sec
[09:26:07]  START OUTLET         : 0.13 sec
[09:26:07]  START OUTLET         : 0.07 sec
[09:26:07]  START OUTLET         : 0.14 sec
[09:26:07]  START OUTLET         : 0.06 sec
[09:26:08]  START OUTLET         : 0.13 sec
[09:26:08]  START OUTLET         : 0.08 sec
[09:26:08]  START OUTLET         : 0.12 sec
[09:26:08]  START OUTLET         : 0.09 sec
[09:26:08]  START OUTLET         : 0.12 sec
[09:26:08]  START OUTLET         : 0.07 sec
[09:26:08]  START OUTLET         : 0.13 sec
[09:26:08]  START OUTLET         : 0.07 sec
[09:26:08]  START OUTLET         : 0.14 sec
[09:26:08]  START OUTLET         : 0.07 sec
[09:26:09]  START OUTLET         : 0.11 sec
[09:26:09]  START OUTLET         : 0.08 sec
[09:26:09]  START OUTLET         : 0.13 sec
[09:26:09]  START OUTLET         : 0.07 sec
[09:26:09]  START OUTLET         : 0.14 sec
[09:26:09]  START OUTLET         : 0.06 sec
[09:26:09]  START OUTLET         : 0.13 sec
[09:26:09]  START OUTLET         : 0.07 sec
[09:26:09]  START OUTLET         : 0.11 sec
[09:26:09]  START OUTLET         : 0.08 sec
[09:26:10]  START OUTLET         : 0.13 sec
[09:26:10]  START OUTLET         : 0.07 sec
[09:26:10]  START OUTLET         : 0.12 sec
[09:26:10]  START OUTLET         : 0.08 sec
[09:26:10]  START OUTLET         : 0.13 sec
[09:26:10]  START OUTLET         : 0.07 sec
[09:26:10]  START OUTLET         : 0.14 sec
[09:26:10]  START OUTLET         : 0.07 sec
[09:26:10]  START OUTLET         : 0.14 sec
[09:26:10]  START OUTLET         : 0.06 sec
[09:26:11]  START OUTLET         : 0.13 sec
[09:26:11]  START OUTLET         : 0.07 sec
[09:26:11]  START OUTLET         : 0.13 sec
[09:26:11]  START OUTLET         : 0.08 sec
[09:26:11]  START OUTLET         : 0.13 sec
[09:26:11]  START OUTLET         : 0.06 sec
[09:26:11]  START OUTLET         : 0.13 sec
[09:26:11]  START OUTLET         : 0.08 sec
[09:26:11]  START OUTLET         : 0.14 sec
[09:26:11]  START OUTLET         : 0.06 sec
[09:26:12]  START OUTLET         : 0.12 sec
[09:26:12]  START OUTLET         : 0.08 sec
[09:26:12]  START OUTLET         : 0.13 sec
[09:26:12]  START OUTLET         : 0.07 sec
[09:26:12]  START OUTLET         : 0.14 sec
[09:26:12]  START OUTLET         : 0.06 sec
[09:26:12]  START OUTLET         : 0.14 sec
[09:26:12]  START OUTLET         : 0.07 sec
[09:26:12]  START OUTLET         : 0.13 sec
[09:26:12]  START OUTLET         : 0.07 sec
[09:26:13]  START OUTLET         : 0.13 sec
[09:26:13]  START OUTLET         : 0.07 sec
[09:26:13]  START OUTLET         : 0.13 sec
[09:26:13]  START OUTLET         : 0.09 sec
[09:26:13]  START OUTLET         : 0.12 sec
[09:26:13]  START OUTLET         : 0.07 sec
[09:26:13]  START OUTLET         : 0.12 sec
[09:26:13]  START OUTLET         : 0.08 sec
[09:26:13]  START OUTLET         : 0.14 sec
[09:26:13]  START OUTLET         : 0.06 sec
[09:26:14]  START OUTLET         : 0.13 sec
[09:26:14]  START OUTLET         : 0.06 sec
[09:26:14]  START OUTLET         : 0.14 sec
[09:26:14]  START OUTLET         : 0.06 sec
[09:26:14]  START OUTLET         : 0.13 sec
[09:26:14]  START OUTLET         : 0.07 sec
[09:26:14]  START OUTLET         : 0.14 sec
[09:26:14]  START OUTLET         : 0.06 sec
[09:26:14]  START OUTLET         : 0.14 sec
[09:26:14]  START OUTLET         : 0.06 sec
[09:26:15]  START OUTLET         : 0.12 sec
[09:26:15]  START OUTLET         : 0.07 sec
[09:26:15]  START OUTLET         : 0.12 sec
[09:26:15]  START OUTLET         : 0.09 sec
[09:26:15]  START OUTLET         : 0.10 sec
[09:26:15]  START OUTLET         : 0.08 sec
[09:26:15]  START OUTLET         : 0.14 sec
[09:26:15]  START OUTLET         : 0.06 sec
[09:26:15]  START OUTLET         : 0.14 sec
[09:26:15]  START OUTLET         : 0.06 sec
[09:26:16]  START OUTLET         : 0.13 sec
[09:26:16]  START OUTLET         : 0.07 sec
[09:26:16]  START OUTLET         : 0.13 sec
[09:26:16]  START OUTLET         : 0.08 sec
[09:26:16]  START OUTLET         : 0.13 sec
[09:26:16]  START OUTLET         : 0.06 sec
[09:26:16]  START OUTLET         : 0.14 sec
[09:26:16]  START OUTLET         : 0.07 sec
[09:26:16]  START OUTLET         : 0.14 sec
[09:26:16]  START OUTLET         : 0.05 sec
[09:26:17]  START OUTLET         : 0.14 sec
[09:26:17]  START OUTLET         : 0.07 sec
[09:26:17]  START OUTLET         : 0.13 sec
[09:26:17]  START OUTLET         : 0.06 sec
[09:26:17]  START OUTLET         : 0.14 sec
[09:26:17]  START OUTLET         : 0.06 sec
[09:26:17]  START OUTLET         : 0.12 sec
[09:26:17]  START OUTLET         : 0.08 sec
[09:26:17]  START OUTLET         : 0.13 sec
[09:26:17]  START OUTLET         : 0.07 sec
[09:26:18]  START OUTLET         : 0.14 sec
[09:26:18]  START OUTLET         : 0.07 sec
[09:26:18]  START OUTLET         : 0.13 sec
[09:26:18]  START OUTLET         : 0.07 sec
[09:26:18]  START OUTLET         : 0.12 sec
[09:26:18]  START OUTLET         : 0.07 sec
